Format,OpenTRACK,,,,,,
Name,Portaria,,,,,,
Country,Greece,,,,,,
City,Volos,,,,,,
Type,Hillclimb,,,,,,
Config,Open,,,,,,
Direction,Forward,,,,,,
Mirror,On,,,,,,
Export Frequency,20,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
km,km/h,deg/s,G,m,deg,,
,,,,,,,
0.231,130.054001,-12.711506,-0.877408,388,0,1,1
0.234,129.98999,-12.333813,-0.85739,388,0,1,1
0.238,129.070999,-11.948556,-0.829055,388,0,1,1
0.242,127.604996,-11.527088,-0.791905,388,0,1,1
0.245,125.550003,-11.028844,-0.744291,388,0,1,1
0.249,122.647003,-10.420134,-0.686282,388,0,1,1
0.252,119.512001,-9.621201,-0.616903,388,0,1,1
0.255,116.496002,-8.625171,-0.538659,388,0,1,1
0.259,113.300003,-7.527843,-0.459828,388,0,1,1
0.262,110.316002,-6.4791,-0.38674,388,0,1,1
0.265,107.375999,-5.603162,-0.323581,388.559998,0,1,1
0.268,104.447998,-4.851213,-0.270703,389,0,1,1
0.271,101.897003,-4.126536,-0.222725,389,0,1,1
0.274,99.463997,-3.512096,-0.18337,389,0,1,1
0.276,96.791,-3.076648,-0.156067,389,0,1,1
0.279,94.010002,-2.682912,-0.132435,389,0,1,1
0.282,91.156006,-2.264882,-0.109269,389,0,1,1
0.284,88.195999,-1.839976,-0.086778,389,0,1,1
0.287,85.288002,-1.21591,-0.055396,389,0,1,1
0.289,82.486,-0.34341,-0.014467,389.820007,0,1,1
0.291,79.534996,0.733063,0.03091,390,0,1,1
0.293,76.750999,2.150789,0.090277,390,0,1,1
0.296,73.879997,4.669283,0.17673,390,0,1,1
0.298,71.089005,8.189306,0.286222,390,0,1,1
0.3,68.308006,12.395046,0.411277,390,0,1,1
0.301,65.725006,16.893682,0.5411,390,0,1,1
0.303,63.148003,21.606373,0.663007,390,0,1,1
0.305,60.490002,25.970709,0.770523,390,0,1,1
0.307,58.272003,29.772625,0.8611,390,0,1,1
0.308,56.667999,32.964687,0.934181,390,0,1,1
0.31,55.431004,35.466682,0.989966,390,0,1,1
0.311,54.172001,37.061565,1.029633,390,0,1,1
0.313,53.367001,37.827953,1.054368,390,0,1,1
0.314,52.689999,37.89579,1.067222,390,0,1,1
0.316,52.224998,37.420696,1.069746,390,0,1,1
0.317,51.860001,36.583946,1.063845,390,0,1,1
0.319,51.345001,35.57119,1.0515,390,0,1,1
0.32,50.762001,34.555676,1.036401,390.339996,0,1,1
0.322,50.041,33.770725,1.023661,391,0,1,1
0.323,49.288002,33.501205,1.019436,391,0,1,1
0.325,48.338001,34.080349,1.028486,391,0,1,1
0.326,47.115002,35.559727,1.051168,391,0,1,1
0.327,45.728001,37.754616,1.083066,391,0,1,1
0.328,44.184002,40.748436,1.123071,391,0,1,1
0.33,42.428001,44.678696,1.170838,391,0,1,1
0.331,40.688,49.827065,1.225674,391,0,1,1
0.332,39.040001,56.06818,1.28344,391,0,1,1
